date,inflacion
2016-08-01,1.837382441859
2016-09-01,2.194976928037
2016-10-01,2.46380088603
2016-11-01,2.527447679823
2016-12-01,3.100268823958
2017-01-01,1.388990423277
2017-02-01,2.022565002315
2017-03-01,2.671572808279
2017-04-01,3.134569616038
2017-05-01,3.611375100519
2017-06-01,3.906230962302
2017-07-01,4.289624810131
2017-08-01,4.775365320727
2017-09-01,4.798109023564
2017-10-01,4.92969758998
2017-11-01,5.679427508509
2017-12-01,6.672027682334
2018-01-01,0.809442223493
2018-02-01,0.960974681135
2018-03-01,1.292975442606
2018-04-01,1.271654292787
2018-05-01,1.440700552067
2018-06-01,1.598324766801
2018-07-01,2.09556443937
