date,tasa_de_interes
2000-12-06,9.402
2000-12-07,9.4263
2000-12-08,9.3984
2000-12-11,9.4418
2000-12-13,9.4497
2000-12-14,9.4127
2000-12-15,9.4079
2000-12-18,9.3788
2000-12-19,9.379
2000-12-20,9.4348
2000-12-21,9.5727
2000-12-22,9.598
2000-12-26,9.5201
2000-12-27,9.5722
2000-12-28,9.5997
2000-12-29,9.6098
2001-01-02,9.714
2001-01-03,9.834
2001-01-04,9.708
2001-01-05,9.7546
2001-01-08,9.69
2001-01-09,9.7417
2001-01-10,9.8167
2001-01-11,9.8548
2001-01-12,9.8798
2001-01-15,9.9018
2001-01-16,9.9778
2001-01-17,9.8878
2001-01-18,9.887
2001-01-19,9.7953
2001-01-22,9.7863
2001-01-23,9.7683
2001-01-24,9.6923
2001-01-25,9.683
2001-01-26,9.6909
2001-01-29,9.6687
2001-01-30,9.6692
2001-01-31,9.6828
2001-02-01,9.7328
2001-02-02,9.756
2001-02-06,9.6998
2001-02-07,9.6945
2001-02-08,9.6464
2001-02-09,9.7238
2001-02-12,9.7389
2001-02-13,9.7065
2001-02-14,9.7219
2001-02-15,9.6763
2001-02-16,9.7022
2001-02-19,9.7044
2001-02-20,9.6797
2001-02-21,9.709
2001-02-22,9.7278
2001-02-23,9.7183
2001-02-26,9.6618
2001-02-27,9.6827
2001-02-28,9.7025
2001-03-01,9.7052
2001-03-02,9.6688
2001-03-05,9.637
2001-03-06,9.6409
2001-03-07,9.6542
2001-03-08,9.6468
2001-03-09,9.6703
2001-03-12,9.6625
2001-03-13,9.632
2001-03-14,9.576
2001-03-15,9.5843
2001-03-16,9.6233
2001-03-19,9.5683
2001-03-20,9.5188
2001-03-22,9.5722
2001-03-23,9.654
2001-03-26,9.5315
2001-03-27,9.5139
2001-03-28,9.538
2001-03-29,9.5203
2001-03-30,9.4933
2001-04-02,9.4152
2001-04-03,9.3914
2001-04-04,9.4201
2001-04-05,9.414
2001-04-06,9.4059
2001-04-09,9.3587
2001-04-10,9.3093
2001-04-11,9.2908
2001-04-16,9.323
2001-04-17,9.2723
2001-04-18,9.1966
2001-04-19,9.2748
2001-04-20,9.3525
2001-04-23,9.37
2001-04-24,9.2768
2001-04-25,9.3123
2001-04-26,9.2671
2001-04-27,9.3049
2001-04-30,9.2537
2001-05-02,9.283
2001-05-03,9.2873
2001-05-04,9.2579
2001-05-07,9.2212
2001-05-08,9.2048
2001-05-09,9.216
2001-05-10,9.1967
2001-05-11,9.225
2001-05-14,9.1922
2001-05-15,9.161
2001-05-16,9.1645
2001-05-17,8.9952
2001-05-18,8.9774
2001-05-21,8.9428
2001-05-22,8.966
2001-05-23,9.0398
2001-05-24,9.0805
2001-05-25,9.0945
2001-05-28,9.0781
2001-05-29,9.0851
2001-05-30,9.1653
2001-05-31,9.1835
2001-06-01,9.1735
2001-06-04,9.1369
2001-06-05,9.1722
2001-06-06,9.1208
2001-06-07,9.1235
2001-06-08,9.068
2001-06-11,9.029
2001-06-12,9.094
2001-06-13,9.118
2001-06-14,9.0523
2001-06-15,9.0522
2001-06-18,9.0502
2001-06-19,9.0792
2001-06-20,9.0798
2001-06-21,9.057
2001-06-22,9.073
2001-06-25,9.0595
2001-06-26,9.0606
2001-06-27,9.0608
2001-06-28,9.09
2001-06-29,9.0708
2001-07-02,9.0221
2001-07-03,9.0258
2001-07-04,9.0707
2001-07-05,9.0312
2001-07-06,9.1503
2001-07-09,9.1193
2001-07-10,9.1476
2001-07-11,9.2953
2001-07-12,9.342
2001-07-13,9.3542
2001-07-16,9.2918
2001-07-17,9.1855
2001-07-18,9.1283
2001-07-19,9.2
2001-07-20,9.1796
2001-07-23,9.1107
2001-07-24,9.1087
2001-07-25,9.1599
2001-07-26,9.157
2001-07-27,9.192
2001-07-30,9.1472
2001-07-31,9.1408
2001-08-01,9.2111
2001-08-02,9.1698
2001-08-03,9.1638
2001-08-06,9.1292
2001-08-07,9.12
2001-08-08,9.0958
2001-08-09,9.0897
2001-08-10,9.1247
2001-08-13,9.0863
2001-08-14,9.1206
2001-08-15,9.094
2001-08-16,9.0833
2001-08-17,9.1155
2001-08-20,9.1383
2001-08-21,9.1227
2001-08-22,9.1158
2001-08-23,9.1205
2001-08-24,9.1444
2001-08-27,9.1123
2001-08-28,9.1365
2001-08-29,9.1438
2001-08-30,9.1692
2001-08-31,9.2
2001-09-03,9.1936
2001-09-04,9.1957
2001-09-05,9.2587
2001-09-06,9.2898
2001-09-07,9.3242
2001-09-10,9.3716
2001-09-11,9.5475
2001-09-12,9.4447
2001-09-13,9.4748
2001-09-14,9.4942
2001-09-17,9.4478
2001-09-18,9.4455
2001-09-19,9.4185
2001-09-20,9.4802
2001-09-21,9.4848
2001-09-24,9.4315
2001-09-25,9.4842
2001-09-26,9.5258
2001-09-27,9.5542
2001-09-28,9.5098
2001-10-01,9.5037
2001-10-02,9.5217
2001-10-03,9.5273
2001-10-04,9.5243
2001-10-05,9.5808
2001-10-08,9.5666
2001-10-09,9.5163
2001-10-10,9.4053
2001-10-11,9.3397
2001-10-12,9.3538
2001-10-15,9.2753
2001-10-16,9.235
2001-10-17,9.234
2001-10-18,9.231
2001-10-19,9.1971
2001-10-22,9.1977
2001-10-23,9.2243
2001-10-24,9.2173
2001-10-25,9.2469
2001-10-26,9.2722
2001-10-29,9.2421
2001-10-30,9.2682
2001-10-31,9.2542
2001-11-01,9.2892
2001-11-02,9.2783
2001-11-05,9.2221
2001-11-06,9.2132
2001-11-07,9.2088
2001-11-08,9.2115
2001-11-09,9.2318
2001-11-12,9.2708
2001-11-13,9.2519
2001-11-14,9.2362
2001-11-15,9.2028
2001-11-16,9.2121
2001-11-19,9.1968
2001-11-21,9.1409
2001-11-22,9.1547
2001-11-23,9.1476
2001-11-26,9.1647
2001-11-27,9.2372
2001-11-28,9.2762
2001-11-29,9.2815
2001-11-30,9.2681
2001-12-03,9.205
2001-12-04,9.2197
2001-12-05,9.2165
2001-12-06,9.2401
2001-12-07,9.2124
2001-12-10,9.1865
2001-12-11,9.1819
2001-12-13,9.1204
2001-12-14,9.0798
2001-12-17,9.1198
2001-12-18,9.1052
2001-12-19,9.1175
2001-12-20,9.1682
2001-12-21,9.1235
2001-12-24,9.0923
2001-12-26,9.0957
2001-12-27,9.1423
2001-12-28,9.1692
2001-12-31,9.1695
2002-01-02,9.1037
2002-01-03,9.1142
2002-01-04,9.1368
2002-01-07,9.1554
2002-01-08,9.1678
2002-01-09,9.2044
2002-01-10,9.2444
2002-01-11,9.2734
2002-01-14,9.1923
2002-01-15,9.1711
2002-01-16,9.1993
2002-01-17,9.1255
2002-01-18,9.119
2002-01-21,9.1219
2002-01-22,9.1521
2002-01-23,9.148
2002-01-24,9.1227
2002-01-25,9.1295
2002-01-28,9.1585
2002-01-29,9.1714
2002-01-30,9.1974
2002-01-31,9.1463
2002-02-01,9.1544
2002-02-04,9.1627
2002-02-06,9.1294
2002-02-07,9.1381
2002-02-08,9.1465
2002-02-11,9.0787
2002-02-12,9.0896
2002-02-13,9.0607
2002-02-14,9.0838
2002-02-15,9.0652
2002-02-18,9.0638
2002-02-19,9.069
2002-02-20,9.0858
2002-02-21,9.0757
2002-02-22,9.1061
2002-02-25,9.0831
2002-02-26,9.0815
2002-02-27,9.0919
2002-02-28,9.1303
2002-03-01,9.0957
2002-03-04,9.0723
2002-03-05,9.077
2002-03-06,9.0797
2002-03-07,9.0753
